search_name,norm,naissances
Jason,jason,15365.0
Teddy,teddy,9705.0
Brandon,brandon,9380.0
Jessy,jessy,8600.0
Marvin,marvin,8290.0
Charly,charly,7520.0
Yoan,yoan,7380.0
Karim,karim,7320.0
Cécilia,cecilia,6915.0
Eric,eric,6655.0
Yannick,yannick,6470.0
Tatiana,tatiana,6195.0
Andy,andy,6155.0
Rudy,rudy,6140.0
Bruno,bruno,5885.0
Brian,brian,5720.0
Nolan,nolan,5720.0
Pierrick,pierrick,5635.0
Gwenaelle,gwenaelle,5545.0
Lenny,lenny,5445.0
Angelina,angelina,5410.0
Antony,antony,5355.0
Eddy,eddy,5310.0
Steve,steve,5295.0
Linda,linda,5175.0
Kimberley,kimberley,5085.0
Ali,ali,5060.0
Michel,michel,5010.0
Melody,melody,4935.0
Sandrine,sandrine,4935.0
Nadia,nadia,4930.0
Nathalie,nathalie,4810.0
Younes,younes,4770.0
Ronan,ronan,4770.0
Sophia,sophia,4755.0
Rebecca,rebecca,4730.0
Donovan,donovan,4695.0
Hamza,hamza,4620.0
Maximilien,maximilien,4620.0
Youssef,youssef,4595.0
Samir,samir,4550.0
Priscillia,priscillia,4500.0
Nabil,nabil,4480.0
Annabelle,annabelle,4460.0
Priscilla,priscilla,4440.0
Stanislas,stanislas,4350.0
Dounia,dounia,4345.0
Kenny,kenny,4325.0
Stacy,stacy,4280.0
Mike,mike,4260.0
Stella,stella,4215.0
Manuel,manuel,4170.0
Fatima,fatima,4150.0
Ibrahim,ibrahim,4095.0
Ahmed,ahmed,4090.0
Nora,nora,4075.0
Emeric,emeric,4075.0
Ismael,ismael,4070.0
Prescillia,prescillia,4070.0
Ornella,ornella,4050.0
Lucien,lucien,4020.0
Aurelia,aurelia,3995.0
Loïs,lois,3990.0
Kyllian,kyllian,3970.0
Richard,richard,3960.0
Boris,boris,3950.0
Anne-Laure,anne-laure,3935.0
Helena,helena,3895.0
Diego,diego,3895.0
Elisabeth,elisabeth,3880.0
Denis,denis,3875.0
Lindsay,lindsay,3860.0
Johann,johann,3855.0
Karine,karine,3855.0
Cyprien,cyprien,3845.0
Dany,dany,3845.0
Lydie,lydie,3840.0
Dorine,dorine,3805.0
Charlie,charlie,3805.0
Sofian,sofian,3795.0
Sullivan,sullivan,3775.0
Henri,henri,3760.0
Lionel,lionel,3755.0
Joffrey,joffrey,3755.0
Amélia,amelia,3755.0
Loane,loane,3755.0
Zakaria,zakaria,3735.0
Renaud,renaud,3715.0
Max,max,3710.0
Ingrid,ingrid,3700.0
Joanna,joanna,3690.0
Magali,magali,3670.0
Florentin,florentin,3665.0
Naomi,naomi,3660.0
